Observer's latitude (deg) ? 147
Day of the month (1-31)? 6
Month (1-12) ? 3
Right ascension (h,m)   ? 9,54
Declination (deg)       ? 76

From (h,m): ? 7,54
To (h,m):   ? 6,43

Positive rotation rates are clockwise:
  7h 55    Rotation  -0.27
  7h 56    Rotation  -0.28
  7h 57    Rotation  -0.28
  7h 58    Rotation  -0.28
  7h 59    Rotation  -0.28
  8h  0    Rotation  -0.28
  8h  1    Rotation  -0.28
  8h  2    Rotation  -0.28
  8h  3    Rotation  -0.28
  8h  4    Rotation  -0.28
  8h  5    Rotation  -0.28
  8h  6    Rotation  -0.28
  8h  7    Rotation  -0.28
  8h  8    Rotation  -0.28
  8h  9    Rotation  -0.28
  8h 10    Rotation  -0.28
  8h 11    Rotation  -0.28
  8h 12    Rotation  -0.28
  8h 13    Rotation  -0.28
  8h 14    Rotation  -0.28
  8h 15    Rotation  -0.28
  8h 16    Rotation  -0.28
  8h 17    Rotation  -0.28
  8h 18    Rotation  -0.28
  8h 19    Rotation  -0.28
  8h 20    Rotation  -0.28
  8h 21    Rotation  -0.28
  8h 22    Rotation  -0.28
  8h 23    Rotation  -0.28
  8h 24    Rotation  -0.28
  8h 25    Rotation  -0.28
  8h 26    Rotation  -0.28
  8h 27    Rotation  -0.28
  8h 28    Rotation  -0.28
  8h 29    Rotation  -0.28
  8h 30    Rotation  -0.28
  8h 31    Rotation  -0.28
  8h 32    Rotation  -0.28
  8h 33    Rotation  -0.28
  8h 34    Rotation  -0.29
  8h 35    Rotation  -0.29
  8h 36    Rotation  -0.29
  8h 37    Rotation  -0.29
  8h 38    Rotation  -0.29
  8h 39    Rotation  -0.29
  8h 40    Rotation  -0.29
  8h 41    Rotation  -0.29
  8h 42    Rotation  -0.29
  8h 43    Rotation  -0.29
  8h 44    Rotation  -0.29
  8h 45    Rotation  -0.29
  8h 46    Rotation  -0.29
  8h 47    Rotation  -0.29
  8h 48    Rotation  -0.29
  8h 49    Rotation  -0.29
  8h 50    Rotation  -0.29
  8h 51    Rotation  -0.29
  8h 52    Rotation  -0.29
  8h 53    Rotation  -0.29
  8h 54    Rotation  -0.29
  8h 55    Rotation  -0.29
  8h 56    Rotation  -0.29
  8h 57    Rotation  -0.29
  8h 58    Rotation  -0.29
  8h 59    Rotation  -0.29
  9h  0    Rotation  -0.29
  9h  1    Rotation  -0.29
  9h  2    Rotation  -0.29
  9h  3    Rotation  -0.29
  9h  4    Rotation  -0.29
  9h  5    Rotation  -0.29
  9h  6    Rotation  -0.29
  9h  7    Rotation  -0.29
  9h  8    Rotation  -0.29
  9h  9    Rotation  -0.29
  9h 10    Rotation  -0.29
  9h 11    Rotation  -0.29
  9h 12    Rotation  -0.29
  9h 13    Rotation  -0.29
  9h 14    Rotation  -0.30
  9h 15    Rotation  -0.30
  9h 16    Rotation  -0.30
  9h 17    Rotation  -0.30
  9h 18    Rotation  -0.30
  9h 19    Rotation  -0.30
  9h 20    Rotation  -0.30
  9h 21    Rotation  -0.30
  9h 22    Rotation  -0.30
  9h 23    Rotation  -0.30
  9h 24    Rotation  -0.30
  9h 25    Rotation  -0.30
  9h 26    Rotation  -0.30
  9h 27    Rotation  -0.30
  9h 28    Rotation  -0.30
  9h 29    Rotation  -0.30
  9h 30    Rotation  -0.30
  9h 31    Rotation  -0.30
  9h 32    Rotation  -0.30
  9h 33    Rotation  -0.30
  9h 34    Rotation  -0.30
  9h 35    Rotation  -0.30
  9h 36    Rotation  -0.30
  9h 37    Rotation  -0.30
  9h 38    Rotation  -0.30
  9h 39    Rotation  -0.30
  9h 40    Rotation  -0.30
  9h 41    Rotation  -0.30
  9h 42    Rotation  -0.30
  9h 43    Rotation  -0.30
  9h 44    Rotation  -0.30
  9h 45    Rotation  -0.30
  9h 46    Rotation  -0.30
